conv,run,seed,timestamp,overall_correct,overall_total,overall_acc_pct,cat1_correct,cat1_total,cat1_acc_pct,cat2_correct,cat2_total,cat2_acc_pct,cat3_correct,cat3_total,cat3_acc_pct,cat4_correct,cat4_total,cat4_acc_pct,judge_model
0,1,2001,2025-11-20 08:37:36,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,2,2003,2025-11-20 11:44:00,132,152,86.84,29,32,90.62,27,37,72.97,13,13,100.00,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,3,2004,2025-11-20 11:54:56,131,152,86.18,29,32,90.62,27,37,72.97,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,4,2005,2025-11-20 12:05:57,131,152,86.18,29,32,90.62,27,37,72.97,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,5,2006,2025-11-20 12:24:29,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,6,2007,2025-11-20 12:35:15,131,152,86.18,28,32,87.50,27,37,72.97,12,13,92.31,64,70,91.43,gpt-4o-mini (GENEROUS - Mem0 official)
0,7,2008,2025-11-20 12:45:37,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,8,2009,2025-11-20 12:55:51,132,152,86.84,29,32,90.62,27,37,72.97,12,13,92.31,64,70,91.43,gpt-4o-mini (GENEROUS - Mem0 official)
0,9,2010,2025-11-20 15:16:42,130,152,85.53,29,32,90.62,26,37,70.27,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,10,2002,2025-11-20 15:48:06,130,152,85.53,29,32,90.62,27,37,72.97,11,13,84.62,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
1,1,2001,2025-11-20 13:12:56,65,81,80.25,9,11,81.82,15,26,57.69,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,2,2003,2025-11-20 14:19:18,67,81,82.72,10,11,90.91,15,26,57.69,0,0,0.00,42,44,95.45,gpt-4o-mini (GENEROUS - Mem0 official)
1,3,2004,2025-11-20 14:44:22,64,81,79.01,10,11,90.91,14,26,53.85,0,0,0.00,40,44,90.91,gpt-4o-mini (GENEROUS - Mem0 official)
1,4,2005,2025-11-20 14:49:21,64,81,79.01,9,11,81.82,15,26,57.69,0,0,0.00,40,44,90.91,gpt-4o-mini (GENEROUS - Mem0 official)
1,5,2002,2025-11-20 15:22:53,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,6,2006,2025-11-20 15:28:40,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,7,2007,2025-11-20 15:34:08,67,81,82.72,10,11,90.91,15,26,57.69,0,0,0.00,42,44,95.45,gpt-4o-mini (GENEROUS - Mem0 official)
1,8,2008,2025-11-20 15:54:21,66,81,81.48,10,11,90.91,15,26,57.69,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,9,2009,2025-11-20 15:59:48,66,81,81.48,9,11,81.82,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,10,2010,2025-11-20 16:05:12,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
2,1,2001,2025-11-20 16:14:46,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,2,2002,2025-11-20 16:25:23,129,152,84.87,28,31,90.32,20,27,74.07,5,8,62.50,76,86,88.37,gpt-4o-mini (GENEROUS - Mem0 official)
2,3,2003,2025-11-20 16:35:25,127,152,83.55,28,31,90.32,20,27,74.07,5,8,62.50,74,86,86.05,gpt-4o-mini (GENEROUS - Mem0 official)
2,4,2004,2025-11-20 16:45:14,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,5,2005,2025-11-20 16:55:42,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,6,2006,2025-11-20 17:06:00,127,152,83.55,28,31,90.32,19,27,70.37,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,7,2007,2025-11-20 17:16:32,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,8,2008,2025-11-20 17:26:33,130,152,85.53,29,31,93.55,20,27,74.07,5,8,62.50,76,86,88.37,gpt-4o-mini (GENEROUS - Mem0 official)
2,9,2009,2025-11-20 17:37:12,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,10,2010,2025-11-20 17:47:14,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
